,Unnamed: 0,chunkId,content,heading,originalLanguageChunk,StartPage,EndPage,originalLanguageHeading,ContentWordCount,pdfName,contentType,image,summary
0,0,1,# # Millet by natural technique,,## प्राकृतिक तकनीक द्वारा बाजरा की,,,,6,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,heading,,
1,1,2,"The area under millets in the state is about 9.8 lakh hectares as of 2022. About 50 lakh metric tonnes of produce is being obtained from millet cultivation in the state. It is successful in low rainfall. It can be successfully cultivated in areas with 40-50 cm annual rainfall. Millets are widely grown as human food and fodder. In the state, millet is cultivated in the Bundelkhand region, Agra, Bareilly, and Kanpur divisions. Cultivation of species: Only pure seeds of non-degradable species should be sown to get good yield. But there are some varieties that people grow for animal fodder. Major millet varieties available in Uttar Pradesh are Pusa Composite-704, Dhan-Shakti, Pusa Composite-443.",Millet by natural technique.,"प्रदेश में बाजरे की वर्ष 2022 के आंकड़े से लगभग 9.80 लाख हेक्टेयर है। प्रदेश में बाजरे की खेती से लगभग 50 लाख मीट्रिक टन उत्पादन प्राप्त हो रहा है। कम वर्षा मेंइसकी खेती सफल है 40-50 से०मी0 वार्षिक वर्षा वाले क्षेत्रों मेंइसकी खेती सफलता पूर्वक की जा सकती है। बाजरा व्यापक रूप से मानव भोजन एवं चारे के रूप में उगाया जाता हैं। प्रदेश में बाजरे की खेती बुन्देलखण्ड क्षेत्र, आगरा, बरेली, एवं कानपुर मण्डलों में होती है। प्रजातियों काचयनः अच्छी उपज प्राप्त करने लिए उननतिशील प्रजातियों का शुद्ध बीज ही बोना चाहिए। लेकिन कुछ किसमें ऐसी है जिन्हें लोग पशुओं के चारे के लिए उगाते हैं। उत्तर प्रदेश में बाजरे की प्रजातियों उपलब्ध है उनमें से प्रमुख है- पूसा कम्पोजिट-704, धन-शक्ति, पूसा कम्पोजिट-443",,,प्राकृतिक तकनीक द्वारा बाजरा की,125,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Millet cultivation in Uttar Pradesh covers about 9.8 lakh hectares, yielding around 50 lakh metric tonnes of produce, and is suitable for low rainfall areas. It is commonly grown for human consumption and as fodder, with cultivation primarily in the Bundelkhand region, Agra, Bareilly, and Kanpur divisions. Successful cultivation requires the use of pure seeds of non-degradable species, with specific varieties like Pusa Composite-704, Dhan-Shakti, and Pusa Composite-443 being prevalent in the state."
2,2,3,Land selection: Light or loamy sandy soil is suitable for millet. The drainage of the land needs to be good and the soil in which natural farming is to be done for the first time should be tested.,Millet by natural technique.,भूमि का चुनाव: बाजरा के लिए हल्की या दोमट बलुई मिट्टी उपयुक्त होती है। भूमि का जल निकास उत्तम होना आवश्यक है एवं जिस भूमि में पहली बार प्राकृतिक खेती करनी है उस मिट्टी की जांच करवा लेनी चाहिए,,,प्राकृतिक तकनीक द्वारा बाजरा की,39,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,Millet grows well in light or loamy sandy soil with good drainage. It is important to test the soil before starting natural farming.
3,3,3,"Sowing Time and Temperature: As soon as the rains begin, millet should be sown by the second week of July. The millet plant needs a temperature of 25 ° C to germinate and 30 to 3 ° C to grow. Its plants give good yield even at 40 ° C. Millet sowing method: In natural farming method, sowing millet on ridge is considered the best method. Sowing on the bed reduces the quantity of seed and saves up to 70% of water. And when the drain is irrigated, the roots of the crop grown on the bed move towards the water in search of moisture, which makes the roots more developed and the plant stronger. And if it rains and the field is waterlogged, there is less chance of damage to the crop grown on the beds. Seed rate: The natural cultivation of millets requires 5 kg / ha of certified seed. Seed treatment: Millet seeds are sown by treating them with ""Beejamrut,"" which protects the seeds from soil-borne diseases. Treating the seed leads to better germination and higher yield as a crop. Nutrient management: Prior to sowing for nutrient availability.",Millet by natural technique.,"बुआई का समय एवं तापमान: वर्षा प्रारम्भ होते ही जुलाई के दूसरे सप्ताह तक बाजरा बोना चाहिए। बाजरे के पौधे को अंकुरित होने के लिए 25 डिग्री एवं बड़ा होने के लिए 30 से 3 डिग्री सेल्सियस तापमान की जरूरत होती हैं। 40 डिग्री सेल्सियस तक भी उसका पौधा अच्छी पैदावार दे देता हैं। बाजरा की बुआई विधि: प्राकृतिक कृषि पद्धति में बाजरा को मेड़ (रीज) पर बिजाई करना सर्वोत्तम तरीका माना जाता है। मेड़ पर बिजाई करने से बीज की मात्रा कम लगती है और इसमें 70 प्रतिशत पानी की बचत होती है। और जब नाली में सिंचाई की जाती है तो बैड पर उगाई फसल की जड़ें नमी की तलाश में पानी की ओर बढ़ती है जिससे जड़े ज्यादा विकसित होती हैं और पौधा मजबूत बनता है। और यदि बारिश हुई और खेत में पानी खड़ा हुआ तो मेड़ पर उगाई फसल के खराब होने की संभावना कम रहती है। बीज दर: बाजरे की प्राकृतिक खेती में 5 कि0ग्रा0/ हेक्टेयर प्रमाणित बीज की आवश्यकता होती है। बीज का उपचार: बाजरे के बीज को ""बीजामृत"" से उपचारित करके बोया जाता है, जिससे बीज भूमि द्वारा लगने वाली बीमारियों से बच जाते हैं। बीज को उपचारित करने से अंकुरण अच्छा होता हैऔर फसल के रूप में अधिक उत्पादन प्राप्त होता है। पोषक तत्व प्रबंधन: पोषक तत्वों की उपलब्धता हेतु बुवाई के पहले .5-2 टन हेक्टेयर घनजीवामृत को बारीक करके खेत में डालना चाहिए। साथ ही खड़ी फसल में 4-5 बार 7-8 ली0 जीवामृत को 600 लीटर » हेक्टेयर पानी में मिलाकर प्रयोग किया जाता है। भूमि शोधन: बाजरा कि फसल को भूमि जनित रोगों से बचाने के लिए जीवामृत, दशपर्णी अक दवा का छिड़काव करना चाहिए गोबर की खाद (५५) को मृदा में मिला दिया जाता है। सिंचाई: बाजरा की प्राकृतिक खेती में बाली निकलते और दाना भरते समय खेत में नमी का होना आवश्यक है। यदि नहीं है तो सिंचाई कर देनी चाहिए",,,प्राकृतिक तकनीक द्वारा बाजरा की,191,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Millet should be sown by the second week of July, requiring a temperature of 25°C to germinate and 30-35°C to grow. Sowing on ridges is considered the best method in natural farming, reducing seed quantity and saving up to 70% of water. Using 5 kg/ha of certified seed and treating them with ""Beejamrut"" is recommended for better germination and higher yield. Prior nutrient management is essential for nutrient availability before sowing."
4,4,3,"5 - 2 tons of hectare solid biomass should be mined and put in the field. At the same time, 4 - 5 times 7 - 8 litres of Jeevamrut is mixed with 600 litres of water in the standing crop and used. Soil treatment: To protect the millet crop from soil-borne diseases, jeevamrut, a decoction of cow dung, is added to the soil. Irrigation: In the natural farming of millets, moisture is required in the field at the time of crop germination and grain filling. If not, irrigation should be done.",Millet by natural technique.,"बुआई का समय एवं तापमान: वर्षा प्रारम्भ होते ही जुलाई के दूसरे सप्ताह तक बाजरा बोना चाहिए। बाजरे के पौधे को अंकुरित होने के लिए 25 डिग्री एवं बड़ा होने के लिए 30 से 3 डिग्री सेल्सियस तापमान की जरूरत होती हैं। 40 डिग्री सेल्सियस तक भी उसका पौधा अच्छी पैदावार दे देता हैं। बाजरा की बुआई विधि: प्राकृतिक कृषि पद्धति में बाजरा को मेड़ (रीज) पर बिजाई करना सर्वोत्तम तरीका माना जाता है। मेड़ पर बिजाई करने से बीज की मात्रा कम लगती है और इसमें 70 प्रतिशत पानी की बचत होती है। और जब नाली में सिंचाई की जाती है तो बैड पर उगाई फसल की जड़ें नमी की तलाश में पानी की ओर बढ़ती है जिससे जड़े ज्यादा विकसित होती हैं और पौधा मजबूत बनता है। और यदि बारिश हुई और खेत में पानी खड़ा हुआ तो मेड़ पर उगाई फसल के खराब होने की संभावना कम रहती है। बीज दर: बाजरे की प्राकृतिक खेती में 5 कि0ग्रा0/ हेक्टेयर प्रमाणित बीज की आवश्यकता होती है। बीज का उपचार: बाजरे के बीज को ""बीजामृत"" से उपचारित करके बोया जाता है, जिससे बीज भूमि द्वारा लगने वाली बीमारियों से बच जाते हैं। बीज को उपचारित करने से अंकुरण अच्छा होता हैऔर फसल के रूप में अधिक उत्पादन प्राप्त होता है। पोषक तत्व प्रबंधन: पोषक तत्वों की उपलब्धता हेतु बुवाई के पहले .5-2 टन हेक्टेयर घनजीवामृत को बारीक करके खेत में डालना चाहिए। साथ ही खड़ी फसल में 4-5 बार 7-8 ली0 जीवामृत को 600 लीटर » हेक्टेयर पानी में मिलाकर प्रयोग किया जाता है। भूमि शोधन: बाजरा कि फसल को भूमि जनित रोगों से बचाने के लिए जीवामृत, दशपर्णी अक दवा का छिड़काव करना चाहिए गोबर की खाद (५५) को मृदा में मिला दिया जाता है। सिंचाई: बाजरा की प्राकृतिक खेती में बाली निकलते और दाना भरते समय खेत में नमी का होना आवश्यक है। यदि नहीं है तो सिंचाई कर देनी चाहिए",,,प्राकृतिक तकनीक द्वारा बाजरा की,92,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"The natural technique for millet farming involves adding solid biomass to the field and using Jeevamrut mixed with water on the standing crop. Jeevamrut is also added to the soil to protect the crop from soil-borne diseases. Moisture is essential during crop germination and grain filling, and irrigation should be done if needed."
5,5,4,"Jeevamrut: Jeevamrut is sprayed to replenish the nutrients in the millet crop. 7 - 8 litres of Jeevamrut should be sprayed in 600 litres / hectare of water. Spraying of Jeevamrut in millet crop should be done 4-5 times at an interval of 45 days. Spraying once every 5 days alters the growth stage of the crops and as the organic carbon of the field increases, the amount of jeevamrut and ghanjeevamrut should be reduced. Achhadaan: In the natural farming of millet, after jeevamrut and ghanjeevamrut, achhadaan is done in the field, except for the crop, the remaining space is covered with stubble, which increases the organic carbon of the land. Crop Protection, Pests and Diseases: Cultivation through natural farming practices improves the health of the land thereby reducing diseases on the crop. Neemastra, Brahmastra, Agniastra, fungicide, Dashaparni medicine, etc. are sprayed under natural farming if any pests and diseases are seen on the crop. Whenever a pest appears in the millet crop, spray 8 litres of Brahmastra and 8 litres of Agni Shastra mixed in 500 litres / hectare of water.",Millet by natural technique.,"जीवामृत: बाजरा की फसल में पोषक तत्वों की पूर्ति केलिए जीवामृत का छिड़काव किया जाता है। 600 ली0/ हेक्टेयर पानी में 7-8 ली0 जीवामृत का छिड़काव करना चाहिए। बाजरे की फसल में जीवामृत का छिड़काव 45 दिनों के अंतराल पर 4-5 बार करना चाहिए। हर 5 दिनों के अन्तर्राल में एक छिड़काव करने से फसलों की विकास अवस्था बदलती है एवं जैसे-जैसे खेत का जैविक कार्बन बढ़ता है , वैसे जीवामृत एवं घनजीवामृत की मात्रा कम करनी चाहिए। अच्छादन: बाजरा की प्राकृतिक खेती में जीवमृत और घनजीवामृत के बाद खेत में अच्छादन किया जाता है फसल को छोड़कर बाकी खाली जगह को पराली से ढक दिया जाता है इससे जमीन का जैविक कार्बन बढ़ता है। फसल सुरक्षा, कीट एवं रोग :प्राकृतिक कृषि पद्धति द्वारा खेती करने से भूमि का स्वास्थ्य अच्छा हो जाता है जिससे फसल पर बीमारियाँ कम हो जाती है। यदि फसल पर कोई कीट एवं रोग दिखे तो प्राकृतिक खेती के अर्न्तगत नीमास्त्र, ब्रह्मास्त्र, अग्निअस्त्र, फंगीसाइड, दशपर्णी अ्क॑ दवा आदि का छिड़काव करते हैं। जब भी बाजरा की फसल कोई भी कीट दिखाई दे तो 8 लीटर ब्रह्मास्त्र और 8 लीटर अग्निअस्त्र 500 लीटर/ हेक्टेयर पानी में मिलाकर छिड़काव करें | बाजरा की पैदावार और लाभ: बाजरा की प्राकृतिक खेती करने पर प्रथम वर्ष में 5 क्विंटल /हेक्टेयर उत्पादन प्राप्त होता हैं तथा द्वितीय वर्ष लगभग ॥8 क्विंटल / हेक्टेयर तथा तृतीय वर्ष में द्वितीय वर्ष के उत्पादन का 20 प्रतिशत अधिक उत्पादन प्राप्त होता हैं। जबकि लगभग 70 क्विंटल तक सुखा चारा मिल जाता है। भंडारण: बाजरे के दानों को अच्छी तरह धूप में सुखाएं और दानों में नमी की मात्रा 8 से 40 प्रतिशत होने पर अनाज के भंडारण के लिए नमी रहित स्थान पर बोरे में भरकर भंडारण करें |",,,प्राकृतिक तकनीक द्वारा बाजरा की,182,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Jeevamrut is sprayed 4-5 times in millet crop at an interval of 45 days to replenish nutrients. Achhadaan is done to cover the remaining space with stubble, increasing organic carbon. Natural farming practices improve land health, reducing crop diseases. Neemastra, Brahmastra, Agniastra, fungicide, and Dashaparni medicine are used to control pests and diseases in millet crop. 8 litres of Brahmastra and 8 litres of Agni Shastra are sprayed when pests appear in the millet crop."
6,6,4,Millet yield and benefits: Natural millet cultivation yields 5 quintals / hectare in the first year and around in the second year. 8 quintals / hectare and the third year yields 20% more of the second year's produce. While up to about 70 quintals of dry fodder is obtained. Storage: Dry the millet grains well in the sun and store them in gunny bags in a moisture-free place when the moisture content of the grains is 8 to 40 percent.,Millet by natural technique.,"जीवामृत: बाजरा की फसल में पोषक तत्वों की पूर्ति केलिए जीवामृत का छिड़काव किया जाता है। 600 ली0/ हेक्टेयर पानी में 7-8 ली0 जीवामृत का छिड़काव करना चाहिए। बाजरे की फसल में जीवामृत का छिड़काव 45 दिनों के अंतराल पर 4-5 बार करना चाहिए। हर 5 दिनों के अन्तर्राल में एक छिड़काव करने से फसलों की विकास अवस्था बदलती है एवं जैसे-जैसे खेत का जैविक कार्बन बढ़ता है , वैसे जीवामृत एवं घनजीवामृत की मात्रा कम करनी चाहिए। अच्छादन: बाजरा की प्राकृतिक खेती में जीवमृत और घनजीवामृत के बाद खेत में अच्छादन किया जाता है फसल को छोड़कर बाकी खाली जगह को पराली से ढक दिया जाता है इससे जमीन का जैविक कार्बन बढ़ता है। फसल सुरक्षा, कीट एवं रोग :प्राकृतिक कृषि पद्धति द्वारा खेती करने से भूमि का स्वास्थ्य अच्छा हो जाता है जिससे फसल पर बीमारियाँ कम हो जाती है। यदि फसल पर कोई कीट एवं रोग दिखे तो प्राकृतिक खेती के अर्न्तगत नीमास्त्र, ब्रह्मास्त्र, अग्निअस्त्र, फंगीसाइड, दशपर्णी अ्क॑ दवा आदि का छिड़काव करते हैं। जब भी बाजरा की फसल कोई भी कीट दिखाई दे तो 8 लीटर ब्रह्मास्त्र और 8 लीटर अग्निअस्त्र 500 लीटर/ हेक्टेयर पानी में मिलाकर छिड़काव करें | बाजरा की पैदावार और लाभ: बाजरा की प्राकृतिक खेती करने पर प्रथम वर्ष में 5 क्विंटल /हेक्टेयर उत्पादन प्राप्त होता हैं तथा द्वितीय वर्ष लगभग ॥8 क्विंटल / हेक्टेयर तथा तृतीय वर्ष में द्वितीय वर्ष के उत्पादन का 20 प्रतिशत अधिक उत्पादन प्राप्त होता हैं। जबकि लगभग 70 क्विंटल तक सुखा चारा मिल जाता है। भंडारण: बाजरे के दानों को अच्छी तरह धूप में सुखाएं और दानों में नमी की मात्रा 8 से 40 प्रतिशत होने पर अनाज के भंडारण के लिए नमी रहित स्थान पर बोरे में भरकर भंडारण करें |",,,प्राकृतिक तकनीक द्वारा बाजरा की,80,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Millet cultivation yields 5 quintals per hectare in the first year, increasing to 8 quintals in the second year. The third year's yield is 20% more than the second year. Additionally, up to 70 quintals of dry fodder can be obtained. To store the millet grains, they should be dried well in the sun and stored in moisture-free gunny bags when the moisture content is between 8 to 40 percent."
7,7,8,# Sorghum by natural technique,,# प्राकृतिक तकनीक द्वारा ज्वार की,,,,6,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,heading,,
8,8,9,"Jowar is mainly cultivated in Jhansi, Hamirpur, Jalaun, Banda, Fatehpur, Prayagraj, Farrukhabad, Mathura, and Hardoi districts of the state. Sorghum is cultivated in about 2 lakh hectares in the state. Field preparation: Sandy loam or land with good drainage system is suitable for sorghum cultivation. Sorghum is also cultivated in moderately heavy lands in the Bundelkhand region. The preparation of the field requires only a tillage under the natural farming method. Sowing Time: It is advisable to sow jowar within the time frame from the last week of June to the first week of July. Seed rate: Natural sorghum cultivation requires 44 kg / ha of certified seeds. Seed treatment - Before sowing sorghum seeds should be treated with seed nectar.",sorghum by natural technique.,"प्रदेश में झांसी, हमीरपुर, जालौन, बांदा, फतेहपुर, प्रयागराज, फररूखाबाद, मथुरा एवं हरदोई जनपदों में प्रमुख रूप से खेती की जाती है इसके साथ ही प्रदेश के अन्य जनपदों में भी ज्वार की खेती होती हैं। प्रदेश मेंलगभग 2 लाख हेक्टेयर में ज्वार की खेती होती है। खेत की तैयारी: बलुई दोमट अथवा ऐसी भूमि जहां जल निकास की अच्छी व्यवस्था हो, ज्वार की खेती के लिए उपयुक्त होती हैं। बुन्देलखण्ड क्षेत्र में ज्वार की खेती मध्यम भारी भूमि में भी की जाती हैं। खेत की तैयारी में प्राकृतिक खेती विधि के अर्न्तगत एक जुताई की ही आवश्यकता होती हैं। बुवाई का समय: ज्वार की बुवाई जून के अंतिम सप्ताह से जुलाई के प्रथम सप्ताह तक समय-सीमा के अर्न्तगत कर देना उपयुक्त है। बीज दर: प्राकृतिक ज्वार की खेती के लिए 44 किलोग्राम / हेक्टेयर प्रमाणित बीज की आवश्यकता होती हैं। बीजोपचार- बुआई करने से पहले ज्वार को बीज को बीजामृत से उपचारित करना चाहिए",,,प्राकृतिक तकनीक द्वारा ज्वार की,154,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Sorghum, also known as Jowar, is mainly cultivated in several districts of Uttar Pradesh, covering about 2 lakh hectares of land. The ideal land for sorghum cultivation is sandy loam or land with good drainage, and it can also be grown in moderately heavy lands in the Bundelkhand region. Field preparation for sorghum cultivation under natural farming method only requires tillage. It is recommended to sow jowar from the last week of June to the first week of July, and the seed rate for natural sorghum cultivation is 44 kg/ha. Before sowing, the sorghum seeds should be treated with seed nectar."
9,9,10,"Nutrient management: For nutrient availability, use of two tonnes hectare of solid biomass is essential at the time of sowing and in the standing crop, 600 litres hectare of biomass is used 3-4 times. Advanced Sorghum Varieties - Bundela, CASB47 Soil Treatment: Spray Jeevamrut, Dashaparni and Agni Astra to protect the sorghum crop from soil-borne diseases. Firearm spray protects against insects such as termites, rootworms, etc. Distance between leaves and plants - Sorghum should be sown at a distance of 45 cm behind the plough. Distance from plant to plant. The 2-20 must be 0 cm.",sorghum by natural technique.,"पोषक तत्व प्रबंधन: पोषक तत्वों की उपलब्धता हेतु बुवाई के समय दो टन हेक्टेयर घनजीवामृत का प्रयोग अतिआवश्यक है साथ ही खड़ी फसल में 3-4 बार जीवामृत 600 लीटर» हेक्टेयर प्रयोग किया जाता है। ज्वार की उननत किस्में- बुन्देला, सीएएस0बी047 भूमि शोधन: ज्वार कीफसल को भूमि जनित रोगो से बचाने के लिए जीवामृत, दशपर्णी एवं अग्नि अस्त्र का छिड़काव करें। अग्निअस्त्र केछिड़काव से दीमक, जड़ की सूण्डी आदि कीटो से बचाव किया जाता है। पत्तियों और पौधों की दूरी- ज्वार की बुवाई 45 से0मी0 की दूरी हल के पीछे करनी चाहिए। पौधे से पौधे की दूरी ।2-20 से०मी0 होनी चाहिए",,,प्राकृतिक तकनीक द्वारा ज्वार की,100,input/md/hindi\Natural_Farming_Kharif_Booklet.pdf,para,,"Sorghum cultivation requires nutrient management with solid biomass at sowing and during the crop cycle, along with the use of advanced sorghum varieties like Bundela and CASB47. Soil treatment involves spraying Jeevamrut, Dashaparni, and Agni Astra to protect against soil-borne diseases, while firearm spray helps control insects. It is recommended to sow sorghum at a distance of 45 cm behind the plough and maintain a distance of 20 cm between plants."
